B	﻿			﻿	未知語						
	一	一	イチ	イチ	名詞-数詞			一	イチ	漢	2050
BBB	私	私-代名詞	ワタクシ	ワタクシ	代名詞			私	ワタクシ	和	41274
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	その	其の	ソノ	ソノ	連体詞			その	ソノ	和	21394
	人	人	ヒト	ヒト	名詞-普通名詞-一般			人	ヒト	和	31500
	を	を	ヲ	ヲ	助詞-格助詞			を	オ	和	41407
	常	常	ツネ	ツネ	名詞-普通名詞-一般			常	ツネ	和	24683
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	先生	先生	センセイ	センセイ	名詞-普通名詞-一般			先生	センセー	漢	20526
	と	と	ト	ト	助詞-格助詞			と	ト	和	25826
	呼ん	呼ぶ	ヨブ	ヨブ	動詞-一般	五段-バ行	連用形-撥音便	呼ん	ヨン	和	39448
	で	て	テ	デ	助詞-接続助詞			で	デ	和	24874
	い	居る	イル	イル	動詞-非自立可能	上一段-ア行	連用形-一般	い	イ	和	2585
	た	た	タ	タ	助動詞	助動詞-タ	終止形-一般	た	タ	和	21642
	。	。			補助記号-句点			。		記号	25
	だ	だ	ダ	ダ	助動詞	助動詞-ダ	終止形-一般	だ	ダ	和	22916
	から	から	カラ	カラ	助詞-接続助詞			から	カラ	和	7218
	ここ	此処	ココ	ココ	代名詞			ここ	ココ	和	12607
	で	で	デ	デ	助詞-格助詞			で	デ	和	25518
	も	も	モ	モ	助詞-係助詞			も	モ	和	37562
	ただ	唯	タダ	タダ	副詞			ただ	タダ	和	22343
	先生	先生	センセイ	センセイ	名詞-普通名詞-一般			先生	センセー	漢	20526
	と	と	ト	ト	助詞-格助詞			と	ト	和	25826
	書く	書く	カク	カク	動詞-一般	五段-カ行	連体形-一般	書く	カク	和	6124
	だけ	だけ	ダケ	ダケ	助詞-副助詞			だけ	ダケ	和	23122
	で	で	デ	デ	助詞-格助詞			で	デ	和	25518
	本名	本名	ホンミョウ	ホンミョウ	名詞-普通名詞-一般			本名	ホンミョー	漢	34971
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	打ち明け	打ち明ける	ウチアケル	ウチアケル	動詞-一般	下一段-カ行	未然形-一般	打ち明け	ウチアケ	和	3209
	ない	ない	ナイ	ナイ	助動詞	助動詞-ナイ	終止形-一般	ない	ナイ	和	27438
	。	。			補助記号-句点			。		記号	25
	これ	此れ	コレ	コレ	代名詞			これ	コレ	和	13095
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	世間	世間	セケン	セケン	名詞-普通名詞-一般			世間	セケン	漢	20139
	を	を	ヲ	ヲ	助詞-格助詞			を	オ	和	41407
	憚かる	憚る	ハバカル	ハバカル	動詞-一般	五段-ラ行	連体形-一般	憚かる	ハバカル	和	30058
	遠慮	遠慮	エンリョ	エンリョ	名詞-普通名詞-サ変可能			遠慮	エンリョ	漢	4290
	と	と	ト	ト	助詞-格助詞			と	ト	和	25826
	いう	言う	イウ	イウ	動詞-一般	五段-ワア行	連体形-一般	いう	イウ	和	1571
	より	より	ヨリ	ヨリ	助詞-格助詞			より	ヨリ	和	39501
	も	も	モ	モ	助詞-係助詞			も	モ	和	37562
	、	、			補助記号-読点			、		記号	24
	その	其の	ソノ	ソノ	連体詞			その	ソノ	和	21394
	方	方	カタ	カタ	名詞-普通名詞-助数詞可能			方	カタ	和	6595
	が	が	ガ	ガ	助詞-格助詞			が	ガ	和	7889
	私	私-代名詞	ワタクシ	ワタクシ	代名詞			私	ワタクシ	和	41274
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	とっ	取る	トル	トル	動詞-一般	五段-ラ行	連用形-促音便	とっ	トッ	和	26854
	て	て	テ	テ	助詞-接続助詞			て	テ	和	24874
	自然	自然	シゼン	シゼン	形状詞-一般			自然	シゼン	漢	15380
	だ	だ	ダ	ダ	助動詞	助動詞-ダ	終止形-一般	だ	ダ	和	22916
	から	から	カラ	カラ	助詞-接続助詞			から	カラ	和	7218
	で	だ	ダ	ダ	助動詞	助動詞-ダ	連用形-一般	で	デ	和	22916
	ある	有る	アル	アル	動詞-非自立可能	五段-ラ行	終止形-一般	ある	アル	和	1216
	。	。			補助記号-句点			。		記号	25
	私	私-代名詞	ワタクシ	ワタクシ	代名詞			私	ワタクシ	和	41274
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	その	其の	ソノ	ソノ	連体詞			その	ソノ	和	21394
	人	人	ヒト	ヒト	名詞-普通名詞-一般			人	ヒト	和	31500
	の	の	ノ	ノ	助詞-格助詞			の	ノ	和	28989
	記憶	記憶	キオク	キオク	名詞-普通名詞-サ変可能			記憶	キオク	漢	8307
	を	を	ヲ	ヲ	助詞-格助詞			を	オ	和	41407
	呼び起す	呼び起こす	ヨビオコス	ヨビオコス	動詞-一般	五段-サ行	連体形-一般	呼び起す	ヨビオコス	和	39435
	ごと	事	コト	コト	名詞-普通名詞-一般			ごと	ゴト	和	12836
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	、	、			補助記号-読点			、		記号	24
	すぐ	直ぐ	スグ	スグ	副詞			すぐ	スグ	和	19134
	「	「			補助記号-括弧開			「		記号	33
	先生	先生	センセイ	センセイ	名詞-普通名詞-一般			先生	センセー	漢	20526
	」	」			補助記号-括弧閉			」		記号	34
	と	と	ト	ト	助詞-格助詞			と	ト	和	25826
	いい	言う	イウ	イウ	動詞-一般	五段-ワア行	連用形-一般	いい	イー	和	1571
	たく	たい	タイ	タイ	助動詞	助動詞-タイ	連用形-一般	たく	タク	和	21652
	なる	成る	ナル	ナル	動詞-非自立可能	五段-ラ行	終止形-一般	なる	ナル	和	28061
	。	。			補助記号-句点			。		記号	25
	筆	筆	フデ	フデ	名詞-普通名詞-一般			筆	フデ	和	32933
	を	を	ヲ	ヲ	助詞-格助詞			を	オ	和	41407
	執っ	取る	トル	トル	動詞-一般	五段-ラ行	連用形-促音便	執っ	トッ	和	26854
	て	て	テ	テ	助詞-接続助詞			て	テ	和	24874
	も	も	モ	モ	助詞-係助詞			も	モ	和	37562
	心持	心持ち	ココロモチ	ココロモチ	名詞-普通名詞-副詞可能			心持	ココロモチ	和	54129
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	同じ	同じ	オナジ	オナジ	連体詞			同じ	オナジ	和	5118
	事	事	コト	コト	名詞-普通名詞-一般			事	コト	和	12836
	で	だ	ダ	ダ	助動詞	助動詞-ダ	連用形-一般	で	デ	和	22916
	ある	有る	アル	アル	動詞-非自立可能	五段-ラ行	終止形-一般	ある	アル	和	1216
	。	。			補助記号-句点			。		記号	25
	よそよそしい	余所余所しい	ヨソヨソシイ	ヨソヨソシイ	形容詞-一般	形容詞	連体形-一般	よそよそしい	ヨソヨソシー	和	69170
	頭	頭	アタマ	アタマ	名詞-普通名詞-一般			頭	アタマ	和	741
	文字	文字	モジ	モジ	名詞-普通名詞-一般			文字	モジ	漢	37717
	など	など	ナド	ナド	助詞-副助詞			など	ナド	和	27905
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	とても	迚も	トテモ	トテモ	副詞			とても	トテモ	和	26503
	使う	使う	ツカウ	ツカウ	動詞-一般	五段-ワア行	連体形-一般	使う	ツカウ	和	24457
	気	気	キ	キ	名詞-普通名詞-一般			気	キ	漢	8263
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	なら	成る	ナル	ナル	動詞-非自立可能	五段-ラ行	未然形-一般	なら	ナラ	和	28061
	ない	ない	ナイ	ナイ	助動詞	助動詞-ナイ	終止形-一般	ない	ナイ	和	27438
	。	。			補助記号-句点			。		記号	25
B	私	私-代名詞	ワタクシ	ワタクシ	代名詞			私	ワタクシ	和	41274
	が	が	ガ	ガ	助詞-格助詞			が	ガ	和	7889
	先生	先生	センセイ	センセイ	名詞-普通名詞-一般			先生	センセー	漢	20526
	と	と	ト	ト	助詞-格助詞			と	ト	和	25826
	知り合い	知り合う	シリアウ	シリアウ	動詞-一般	五段-ワア行	連用形-一般	知り合い	シリアイ	和	87848
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	なっ	成る	ナル	ナル	動詞-非自立可能	五段-ラ行	連用形-促音便	なっ	ナッ	和	28061
	た	た	タ	タ	助動詞	助動詞-タ	連体形-一般	た	タ	和	21642
	の	の	ノ	ノ	助詞-準体助詞			の	ノ	和	28990
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	鎌倉	カマクラ	カマクラ	カマクラ	名詞-固有名詞-地名-一般			鎌倉	カマクラ	固	7055
	で	だ	ダ	ダ	助動詞	助動詞-ダ	連用形-一般	で	デ	和	22916
	ある	有る	アル	アル	動詞-非自立可能	五段-ラ行	終止形-一般	ある	アル	和	1216
	。	。			補助記号-句点			。		記号	25
	その	其の	ソノ	ソノ	連体詞			その	ソノ	和	21394
	時	時	トキ	トキ	名詞-普通名詞-副詞可能			時	トキ	和	26231
	私	私-代名詞	ワタクシ	ワタクシ	代名詞			私	ワタクシ	和	41274
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	まだ	未だ	マダ	マダ	副詞			まだ	マダ	和	35745
	若々しい	若々しい	ワカワカシイ	ワカワカシイ	形容詞-一般	形容詞	連体形-一般	若々しい	ワカワカシー	和	41186
	書生	書生	ショセイ	ショセイ	名詞-普通名詞-一般			書生	ショセー	漢	57622
	で	だ	ダ	ダ	助動詞	助動詞-ダ	連用形-一般	で	デ	和	22916
	あっ	有る	アル	アル	動詞-非自立可能	五段-ラ行	連用形-促音便	あっ	アッ	和	1216
	た	た	タ	タ	助動詞	助動詞-タ	終止形-一般	た	タ	和	21642
	。	。			補助記号-句点			。		記号	25
	暑中	暑中	ショチュウ	ショチュウ	名詞-普通名詞-一般			暑中	ショチュー	漢	17015
	休暇	休暇	キュウカ	キュウカ	名詞-普通名詞-一般			休暇	キューカ	漢	8948
	を	を	ヲ	ヲ	助詞-格助詞			を	オ	和	41407
	利用	利用	リヨウ	リヨウ	名詞-普通名詞-サ変可能			利用	リヨー	漢	40341
	し	為る	スル	スル	動詞-非自立可能	サ行変格	連用形-一般	し	シ	和	19537
	て	て	テ	テ	助詞-接続助詞			て	テ	和	24874
