Country,Cluster
Japan,1
China,1
Korea,1
Thailand,1
Vietnam,1
Philippines,1
Indonesia,1
Malaysia,1
Singapore,1
India,1
Pakistan,4
Bangladesh,1
Myanmar,1
Cambodia,1
Laos,1
Mongolia,1
Taiwan,1
Nepal,1
USA,0
Canada,0
Mexico,2
Brazil,2
Argentina,2
Chile,2
Peru,2
Colombia,2
Venezuela,2
Ecuador,2
UK,0
France,0
Germany,0
Italy,0
Spain,0
Netherlands,0
Belgium,0
Switzerland,0
Austria,0
Sweden,0
Norway,0
Denmark,0
Finland,0
Poland,0
Russia,4
Ukraine,4
Czech,0
Hungary,0
Romania,0
Bulgaria,4
Australia,0
NewZealand,0
Fiji,1
Papua,1
Samoa,0
Egypt,4
Nigeria,3
Kenya,3
Ethiopia,3
Morocco,4
Algeria,3
Tunisia,3
Libya,4
Sudan,3
Ghana,3
SouthAfrica,0
Zimbabwe,3
Botswana,3
Namibia,3
Tanzania,3
Uganda,3
Rwanda,3
Senegal,3
Mali,3
Israel,4
Turkey,4
Iran,4
Iraq,4
Syria,4
Lebanon,4
Jordan,4
Kuwait,4
Qatar,4
UAE,4
Oman,4
Yemen,4
Afghanistan,4
Kazakhstan,4
Uzbekistan,4
Turkmenistan,4
Kyrgyzstan,4
Tajikistan,4
